"HIV diagnoses in females and rates per 100 000 population, by country and year of diagnosis (2006-2015) and cumulative totals, in EU/EEA and other countries of the WHO European Region",,,,,,,,,,,,,,,,,,,,,,,
East,Tajikistan,47,1.4,86,2.4,77,2.1,124,3.4,207,5.5,283,7.4,300,7.6,344,8.6,430,10.5,467,11.2,2447,
Centre,Turkey,83,0.2,101,0.3,123,0.3,126,0.4,139,0.4,167,0.5,254,0.7,242,0.6,334,0.9,339,0.9,2531,
East,Turkmenistan,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,1,
East,Ukraine,5366,21.5,5038,20.3,6582,26.6,7002,28.4,6915,28.2,7697,31.5,7301,30.0,7722,31.8,6683,29.1,5472,23.8,92536,
East,Uzbekistan,522,3.9,1082,8.0,1231,9.0,1807,13.0,1733,12.3,,,,,,,,,,,7783,
,total Non EU-EEA,7659,6.5,8319,7.1,10265,8.6,11315,9.5,37775,19.3,10711,9.9,10642,9.7,11217,10.3,10666,9.9,9644,8.8,172894,
WHO European Region,,,,,,,,,,,,,,,,,,,,,,,
West,West,8879,5.0,8751,4.7,8838,4.6,8402,4.1,8176,4,7701,3.7,7522,3.6,7126,3.3,7104,3.3,6362,2.9,155645,
Centre,Centre,607,0.6,589,0.6,647,0.7,656,0.7,623,0.699999988,721,0.8,794,0.8,832,0.9,925,1.0,835,0.9,18269,
East,East,7544,10.5,8264,11.5,10138,14.1,11179,15.5,37588,25.20000076,10486,17.9,10334,17.6,10958,18.5,10308,17.7,9290,15.9,161874,
,total WHO European Region,17030,4.9,17604,5.0,19623,5.5,20237,5.5,46387,10.30000019,18908,5.2,18650,5.1,18916,5.1,18337,5.0,16487,4.4,335788,
* Country specific comments are in Annex 5,,,,,,,,,,,,,,,,,,,,,,,
** Cumulative total is the total number of cases reported by the country since the start of reporting,,,,,,,,,,,,,,,,,,,,,,,
"*** No official data were reported by Russia, except for 2010. Information about new and cumulative HIV diagnoses was obtained from the Federal Scientific and Methodological Center for Prevention and Control of AIDS: 39402 (2006), 45207 (2007), ",,,,,,,,,,,,,,,,,,,,,,,
"54882 (2008), 58191 (2009),  58326 (2010), 62402 (2011), 70832 (2012), 79764 (2013), 89667 (2014), 98177 (2015) and cumulative 1 011 377 as of 31 December 2015. Reference: Russian Federal Scientific and ",,,,,,,,,,,,,,,,,,,,,,,
Methodological Center for Prevention and Control of AIDS. Information note ”Spravka” on HIV infection in the Russian Federation as of 31 December 2015 and HIV-infection Bulletin No. 40,,,,,,,,,,,,,,,,,,,,,,,
"**** Without prejudice to positions on status, and in line with UNSCR 1244 and the ICJ Opinion on the Kosovo Declaration of Independence",,,,,,,,,,,,,,,,,,,,,,,
Source: European Centre for Disease Prevention and Control/WHO Regional Office for Europe.  HIV/AIDS surveillance in Europe 2015. Stockholm: ECDC; 2016,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,

